,title,contents
0,진통끝에 재왕절개출산,   
1,39주2일 이슬보고 진통걸려 출산했어요,"안녕하세요~
36주부터 주구장창 후기읽으며 마음 다잡고 이론상으로 애를 수도없이 낳아본 건이맘입니다^^
친구들이 애 몇은 낳은것처럼 많이안다고..ㅋㅋ
헌데 출산고통은 이론으로 설명이 안되요.. 직접 경험하지 않는한...
제후기 들어갈께요^^ 도움이 되셨음 좋겠어요
11월27일 39주 2일째날 새벽이었어요
자다가 생리첫날처럼 배가 살살 아파왔어요
눈뜨고 보니 새벽4시였어요
오줌도 매렵고해서 화장실갔는데 피가 뚝뚝(새빨간피) 떨어지는거에요(이슬인듯)
깜짝놀라서 오늘 우리 건이가 나오려나? 하면서 두렵기도하고
설레기도 했어요
그렇게 시작된 가진통은 7분5분주기로 10시까지 계속 왔어요..근데 중요한건 전 진짜 그 재수없다는 배랑 허리랑 진통이 같이 오는 케이스였어요
살면서 허리 한번 안아파봤는데 임신중기때부터 아프더라구요
그래서 그런지 진통올때 허리가 넘아팠어요ㅠ
배는 생리통 느낌이었어요
10시부터 5분주기 잡혀서(이때부터 진진통 9시간함)
참다참다 안되서 신랑 깨워서 병원가자 했어요
가기전에 마지막 만찬으로 중식먹고 병원으로 고고
가서 내진하니 2센치..집에갔다 다시오라길래 집이 멀다고 입원한다 했어요 집까지 40분걸림..
그렇게 입원하고 계속 배랑허리랑 5분 진통..
1시쯤 내진해보더니 진행이 너무안된다고 촉진제 맞자고하셨어요(3센치) 그때부터 악~~~~소리 납니다 정말
그래도 소리안지르고 참았어요 배는 이제 생리통의 열배가되고 허리는 끊어지는것 같았어요
이쯤에 제모도하고 관장도 했어요 (7분참음 간호쌤이 엄청 잘참는다며 칭찬하심)별로 굴욕적이지 않았어요 진통이 넘 아프기에 저따위 아무렇지않음
3시쯤 다시 내진..(내진정말 아픕니다ㅠ 내진할때 팁!! 입으로 하아~하아~하고 숨쉬세요 들아픔 예를들어 손시려울때 하아 하고 입김 불듯이!!의사쌤이 39주때 내진할때 가르쳐주심)
진행이 넘 안된다고 양수터뜨리고 촉진제를 더 넣는다 하더라구요(항생제 테스트하고 투여)
이때부터 눈물이 눈물이ㅜㅜ 정말 참을수 없는진통
허리아픈데 똑바로 누워서 태아안녕검사 하는데 정말 눈물나더라구요 남편도 옆에서 같이울고..(가족 분만실)
촉진제 넣고나서부턴 진통간격 따위 없었어요 1분간격?30초?
무튼 계속 아파요 쉴새없이..
그러다 간호쌤이 제가 너무 우니까 무통맞자하더라구요(이때4센치)
안맞을각오하고 병원왔는데 안맞을수가 없어요 이고통은..
맞고나서 2시간 천국경험했어요..정말 하나도 안아퍼요 신기함
그러다 슬슬 무통이 풀리는지 이젠 허리가아니라 엉치뼈? 거기가 아파오더라구요 그때부터 내진하면서 힘주기연습(7센치 간호쌤이 마사지해주시며 벌려주심)
아 정말 이때 죽고싶었어요 무통은다풀리고 힘주기는 안되고..
힘은 저절로 들어가지는데 너무아프니까 힘이 빠지드라구요
몸은 저절로 비틀어지고 내맘처럼 잘 안되요
그러다 애기 산소포화도 떨어지고 그걸보는순간 우리건이도 힘들구나 ㅜㅜ 라는생각에 정말 악으로 깡으로 밀어냈어요
선생님 들어오시고 먼가가 따끔따끔 (마취하는듯..)
그리고 싹둑싹둑(절개하는소리)
그리고 세번힘주고 응애~~응애~~
제배위에 올려주시는데 전 폭풍오열ㅜㅜ
울면서 건아 미안해..엄마가 넘넘 미안해..미안해..
미안하다는 말밖에 안나오더라구요..(힘을 잘못줘서 우리건이 머리 꼬깔콘됨..생후 5일째 괜찮아짐)
아 그때 생각하니 또 눈물나네요ㅠ
건이도울고 나도울고 남편도 울고..간호쌤이 동영상 찍어주시는데
간호쌤도 우시고... 왜우시는진 모르겠어요 저희셋이 넘 서럽게 울어서 일까요
그렇게 정신없이 울때 선생님은 밑에 꿰메고 계셨어요
그러면서 건이어머니 그만 우시고 건이 손 잡아주고 좀 진정하라고..ㅋ
신랑이 건이 목욕시키며 노래불러주구 전 건이 손잡고 그작은손에 감동받아 또 울고..ㅠ
그렇게 우리 건이 만났답니다 넘넘 행복해요
지금 조리원에 있는데요 수유할때마다 넘 행복해요
보고있어도 보고싶어요^^
예비맘들 정말 애 낳는거 쉬운거 아니지만 하루만 눈딱감고 참으시면 아기천사를 만날수있어요
겁먹지마시고 힘내세요 홧팅!!!
우리건이 사진 투척하고 전이만 유축하러 갈께요
남은 임신기간동안 맛난거 많이드시고 출산준비잘하세연~(두번째사진이 태어난날 찍은거에요 머리 꼬깔콘...ㅠㅠ)   "
2,♡인천부평 우먼메디여성병원 역아 제왕절개 출산후기♡,
3,저도 출산후기남겨보아요~,    
4,"[가연산부인과]39주0일 출산 후기(관장,회음부o/제모x)","예정일을 일주일을 남겨두고 철분이 부족했던지라병원으로 철분주사 맞으러 다녀오는길에 무언가 울컥하는 느낌이들더라구요~이게 양수가 터진건지~어떤건지 몰라서 먼저 출산한 친구들한테 물어보고 병원으로 가보라고 해서 병원 분만실로 전화했죠~ 말복날이기도 하고 신랑한테 삼계탕을 한번도 안해줬던지라~둘이서 삼계탕 뚝딱하고 분만실로 고고~ 내진해보니 양수가 센거라고 하더라구요~바로 입원 수속 하라고 해서 신랑 나가서 입원 수속하고 하루밤 병실에서 잤네요~다음날 아침 7시에 분만실로 자리 옮겨서 촉진제 맞고 신랑은 수술 동의서에 싸인을 하고 무통주사 확인도 하고친정엄마한테 연락 하고 저는 아직 진통전이라서 맘편히 누워있었네요 10시쯤 되니 생리통 오듯이 살살 배가 아파오는데 참을만 하더라구요~그때 담당쌤 오셔서 첫내진~아직 하나도 안열렸다고 하시면서 열심히 걸으라고 하시더라구요~미친듯이 복도를 서성거렸죠~~1시쯤 되서 친정 엄마 오시고 왜이렇게 빨리 나오냐며~ 다시 또 내진 인제사 2센치 열렸다고 더 걸으라고~ㅠㅠ점점 진통을 쎄져오고~ 언제 나올지 모르겠기에 친정엄마는 집으로 가셨다가 오신다고가시고~4시쯤 또 내진~인제 3센치 열렸다고 간호사 언니 오시더니 관장 해야 한다고 약넣고~볼일보고~하니 그때부터 미친듯이 진통이 오더라구요~ㅠㅠ 하늘이 노래지고~신랑이 미워지고~못하겠다고~수술시켜달라고소리지르고~그렇게 시간이 지나고~ 못참겠어서~신랑한테 무통주사 맞겠다고 말했죠~간호사 언니 오더니 얼마나 열렸는지 봐야 한다고 해서다시또 내진~ㅠㅠ진행이 너무 빨라진상태 7센치가 열려서 주사 맞아도 소용없다고 그냥 무작정 소리지르고 참았네요ㅠㅠ이제 생각하면~ 밤9시쯤 되서 다시또 내진~9센치 열러서 아기 낳을수 있는분만실로 옮겨서 1시간 정도 힘주는 연습 했어요 10시쯤 되서 야간 당직쌤 오셔서 분만 시작 했어요~진통때문에 회음부 절개하는 따끔한 느낌만 오고~ 힘주라고 해서 힘3번주고 우리 지율이가 세상에 태어났네요^^뒷정리 하고 신랑이랑 친정엄마는 병실로 먼저 가계시고~ 병실가서 아기보고 미역국 좀먹고~이제 110일이 지났네요^^
 "
5,친구한테 받은 출산선물 자랑할랍니당 ^^," ★수다방 이용수칙~! 꼭 확인해주세요^^★1) 카페이용 전 반드시 카페규정 http://cafe.naver.com/imsanbu/13264822 읽어주세요.(게시물의 이동,삭제,강퇴에 대한 내용 꼭 확인하셔서, 규정위반으로 인한 카페활동제약 등 불편함이 없으시길 바랍니다.)2) 광고·홍보글/이벤트 스크랩/보험가입사은품 낚시글 등은 게시불가합니다. 3) 판매,대여,양도,부동산거래 등 금전이 오가는 거래/공구모집/구함글(판매,대여,구인구직,영업사원·홈스쿨선생·베이비시터·가사 도우미 등) 등은 게시불가합니다.4) 후기글은 해당 후기게시판으로, 의료분쟁 관련 등 지역사회 분쟁글은 이슈게시판으로 각 이동되고, 과도한 논쟁글(욕설과 비하 등)은 삭제됩니다.5) 수다방 성격에 맞지않는 이탈글은 이동 또는 삭제됩니다. (예: 임신을기다리는맘들수다방->임테기 두줄사진 등 임신확인문의글, 싱글방->이혼문의글, 외동아방->둘째찬반논쟁글, 예비신부의 임신얘기->낙태고민글, 박람회관련 질문과 후기글등은 박람회게시판으로 이동) 6) 임산부 회원이 많은 카페입니다. 보는 이에 따라 불쾌감을 줄 수도 있는 사진은 특별히 자제바라며, 부득이 올려야 하는 경우에는 제목에 경고문구 및 매너사진으로 올려주세요.많은 협조 바랍니다. ^^   대학시절 부터 친했던 동기가 있는데요비슷한 해에 결혼해서 아이도 비슷한 날짜에 낳았어요~산부인과도 같은데서 하고 산후조리도 거의 같이 했었죠 ㅋㅋㅋ이때 거의 전우애 같은게 생겨서 ㅋㅋㅋ 남편보다 더 믿는 친군거 같아요~ㅎㅎ이제는 각자 서로 집에서 산후조리 하고 있는뎅갑자기 택배가 뿅 왔어요!친구의 깜짝선물 >_< 자랑할려구 맘스홀릭 들어왔지용ㅋㅋㅋㅋ  쨘!   산후앤맘이에용ㅋㅋㅋ 미역환ㅋㅋㅋ제가 미역국 해먹는거 귀찮아 죽겠다고몸도 힘든데 미역국 내가 끓어서 내가 먹는거 지겹다고 막~~ 찡찡 댔던적이 있는데칭구가 고걸 잡아서 딱! ^ㅇ^ 선물해줬네요 ㅋㅋㅋ성분표 보니까 기장미역이네요ㅋㅋㅋ 역시 보는 눈이 있는 제 친구입니당ㅋㅋㅋㅋ
  한포씩 뜯어서 먹으면 미역국 한그릇에 있는 미역 다 섭취하는 거래요!미역국 안 끓여도 되고 설거지 거리도 없어지니까 넘 좋은듯 >_<ㅋㅋㅋ먹어보니 알갱이들도 작아서 넘 간편하고 좋더라구용 ㅋㅋㅋ너무 자랑조였나여? 죄송해요 ㅋㅋㅋㅋ 남편칭찬도 아니고 친구 칭찬이니 한번 봐주세용!ㅋㅋ    "
6,(춘천미래산부인과)37+6일 2.9킬로 아들 출산후기(둘째),        
7,"[인천서울여성병원 출산후기]40주 3일, 여아, 2.98kg, 자연분만,무통분만o, 관장o,제모o,촉진제o,회음절개o",
8,출산산후조리 이제육아전쟁이네요 ^^ 리얼후기요,"어제산후조리 끝나고~ 오늘은 그래두 혼자 볼만하네요 ^^이모님 가시고 혼자서 어떻게 볼까 싶었는데  이렇게 인터넷 할시간도 있고출산산후조리 리얼후기 갑니다 ~  우리 지우 예정일에 맞춰서 잘 순산하나 싶었는데 예정일 진료갔을때 양수가 조금씩 샌다고 ㅠㅠ 유도하자고 해서 급히 신랑한테 전화하구 친정엄마 시댁 전화 드리고 짐싸서 출산하러 고고씽~ 유도하면 바로 나올줄 알았는데  결국 20시간 진통끝에 재왕절개 했어요 신랑한테 나 수술해주라고 꼭 수술동의서 쓰라고 조르고 졸라서 저희 신랑은 간호사 샘 말듣고 조금만 더해보자 나올꺼 같대 계속 이런소리만 하고 허유재 샘들 자연분만 좋은건 알지만 전 지쳤나봐요 황금골반이라고 애기잘나올꺼 같다고  임신했을때 기대했는데 ㅠㅠ 그런건 없나봐요 수술실 들어가는데 저희 신랑 울더라구요 ㅎㅎ 정신없어서 몰랐는데 나중에 신랑 말이 동의서 쓰는데 펑펑 울었대요 ㅋㅋ 죽으러 가는것도 아닌데 잘못될까봐 인지 어짼지  조리원에서 나름 엄마들과의 친화력으로 재미지게 놀다가 집에왔어요 나름3주차 되니 나도 엄마라면서 혼자서 하루이틀쯤은 할수있을꺼라고  이모님 월요일 부터 오시게하고 저혼자 주말에 우리 지우 보면서 정말 곡소리 났어요 조리원에서 편히 있으면서 몸상태 다 돌아온줄 알고 편히 할수있을줄알았는데 몸이 힘드니 다시 손발이 붓기 시작하고 손이 안쥐어 지더라구요 월요일에 이모님 오셨을때 정말 절로 눈물 나더라구요밥상사진요 오신첫날집앞마트에서 장봐오시고 음식해주셨어요 샐러드랑 장조림 감자볶음  제가 단무지 좋아라해서 단무지 무침에 김치볶음제가 좋아하는 진미채 쩝~매운거 먹음 안되지만 안맵게 해주셔서 전 김치 없음 밥못먹거든요 ^^물도 항상 끓여주시고 전 생수보다 끓여먹는물 더 좋아라 하거든요 쪼끔 미안하기 했네요 그래두 끓인물 해주시니 우리 지우랑 저랑 잘먹었어요제친구는 같은 시기에 출산했는데 장염걸려서 힘들어하더라구요 ㅠㅠ애는 토하고 저희 지우는 이모님이 잘봐주셔서 인지 장염이나 이런건 없었어요 그리고 제가 맨날 인터넷으로 눈팅 할때 두루 잘해주시는 이모님이 몬가했는데저 잘 쉬게 해주시는게 잘해주시는 이모님 같아요 밤에 잠못자서 피곤해하면 쉬라고 얘기해주시고 마사지도 잘해주시고첫날 둘째날은 좀 어색해서 잠자기 미안하고 했는데 수욜부터는 그냥 이모님 오시면 아침먹고바로 방에가서 잠만 잤어요 ㅋㅋ 자고 일어나니 점심 먹고 또자고 일어나니 간식먹고너무 게으른 생활만 했네요 그래도 이상하게 살은 빠지더라구요하지만~ 이모님 어제 가셨는데 ㅠㅠ 이제 다시 요요 오는건가요제가 샐러드 이런걸 좋아하거든요샐러드도 한통해놔주시고 깻잎김치도 ㅎㅎ이러고 보면 전 진상 소비자인가봐요 ^^ 너무 요구사항이 많았는지 ㅋㅋ음식이 너무 맛있어서 저희신랑 조리원서도 2그릇안먹었는데 ~ 이모님밥은 두그릇은거뜬히 먹었어요지난 월요일 비오면 부침개랑 계란말이도 해주시고 간장찜닭,제육볶음,쩝~ 너무마니 먹어서 기억도안나네요저희신랑왈~ 낮잠자지 말고 음식하는것좀 배우라면서 ㅠㅠ 섭섭했어요 제가 산후조리 받는기간에 선거날도 끼고 현충일도 있어서 걱정이 많았어요이모님이 선거날은 안쉬고 현충일만 쉬신다고해서 한숨 놓았고 다행히 주말에 친정엄마가 오셔서 괜찮았어요 산후조리받을때 팁이네요 ㅎㅎ 달력에 빨간날 없으면 추가요금없대요제친구는 것도 모르고 그냥 이모님 쉬시라고 하고 혼자서 했대요전 아직 초보엄마라 혼자는 무서워요 ㄷ ㄷㄷ 아기 낳고 이런 후기도쓰고 진짜 시간이 빠르네요두서없이 쓴 후기지만 읽어주셔서 감사해요  "
9,"2.32kg 40주+6, 양수부족 저체중아 자연분만 출산후기","아,요런거 원래 부끄러워서 잘 안쓰는데,,,,(카페에 글쓰는거 처음이네요 ㅋ)임신기간 내내 맘스 붙잡고 검색검색 또 검색 했던 걱정맘이라...혹시 저처럼 같은 상황에서 걱정하시는 분 계실까해서 출산후기 한번 올려봅니다~제 후기가 걱정 쪼금이라도 덜어드렸으면 좋겠네요^^  애기가 언제 깰지 모르니,, 말은 짧게! 쓸께요 ㅋ 대신 좀 길어요 ㅋ   출산후기 시작-  31주 1.1kg ""아기가 조금 작은데 엄마가 잘먹어야겠네~""2주정도 작은 아기, 엄마 순산하라고 좀 작게나오는구나? ㅎㅎ그래 우리 작게 후딱 나오자~ 33주 1.4kg ""엄마가 잘 안먹나? 다음검진때도 안크면 검사좀 해봐야겠네""이번엔 3주정도 작단다. ㅠㅠ 아가야 왜 안크니 엄마랑 열심히 커보자..이때부터 맘스 검색 시작해서 아기 키울수 있는 음식 검색해서,과일,사골국,빵 닥치는 대로 먹었다. 35주 1.5kg2주동안 난 2키로나 쪘는데 겨우 100그람 찐 우리 아가. 제발 크자,,,제발..배둘레도 작고 다리길이도 짧다..또 검색하며 글보고,,,다른 이상이 있는건 아닌지 걱정하며 밤마다 울다 잠들고,낮엔 먹고 잠들고..제발 커줘 36주 1.8kg혹시나 해서 다른 병원으로 가봤다.1.8kg이라는 소리를 듣고 검사 침대에 누운채로 막 울었다.1주에 300그람이라도 쪄준게 너무 고마워서,,,제발 2키로만 넘어 태어나자 아들..그런데,""혹시 다니는 병원에서 양수적다는 말 안해요?""""쪼금 적다고는 했는데,,,"" 37주 1.9kg원래 다니던 병원. 의사쌤이 타이트하게 몸무게를 재주나 보다.그리고 양수,, 급격히 줄었다.양수는 아기가 만들어내는건데 아기가 작아서 잘 못만드나보다고,,,,휴...이온음료가 좋대서 이젠 이온음료까지..정말 목구멍까지 찰때까지 먹었다.  38주 2.0kg2키로는 됐구나. 그래도 오차가 있다니....2키로가 안될수도 있겠구나.양수부족, 저체중아.""이런 경우 자연분만은 어렵겠죠?""""힘들다고 봐야지""  39주이젠 몸무게를 안 재준다.예정일 12월 29일.작은 아기라서 꼭 내년에 낳고 싶은데,, 어릴 땐 몇개월차이가 엄청 크니까.. 안그래도 작은데...그런데 양수가 너무 없단다.이런 경우엔 얼릉 유도분만 해야한단다.그래도,,,내년에 낳고싶은데.... 내 욕심일까?"" 계속 아기 태동 체크하고, 혹시 태동이 없으면 얼릉 병원으로 와야해""또 걱정의 태동 체크,,,태동이 없는것 같으면 또 글썽이며 누워서 배에 손올리고 있다가툭! 차주면 안도의 한숨쉬고..  2014년 1월 2일유도분만하러갔다.저체중아라도 주수를 채우면 건강하다고 하는 말에 안심하고 다니던 산본제일병원으로 갔다.혹시 무슨일이 생기면 대학병원으로 바로 보내질 수 있단다. ""여보 1인실은 얼마고 6인실은 얼만데 뭘로해?""""응 6인실로해""""얼마차이 안나는데 1인실로해""""아니 6인실로 해줘"" 우리 엄마도, 남편도 내가 구두쇠라 6인실을 썼나..했겠지만..혹시나,,,정말 혹시나,,아기가 인큐베이터에 들어가게 됐을때 나혼자 1인실에 있을,,,그 마음이,,,ㅠㅠ 오늘은 아기가 안나올것 같단다.  2014년 1월 3일   40주+6 아침 7시부터 관장, (아니,,,,나 어제했자나??-_- 나 관장 두번한 여자...)그리고 촉진제 다시 투여.그런데,,,,엄청난 생리통이!""무통 놔달라고 할까?""""아니 아니,,, 이 정도는 아직인거 같아""라고 했는데,, 그 정도가 맞았다;;지나가던 간호사분이 내진하더니,,,4센치. 무통 놔준단다.""저기요,,,쉬마려운데,,""""방광에 안차있던데? 그래도 다녀오고 싶으면 다녀오세요""나,,,,화장실에서 애낳을뻔했다...화장실에 갔는데, 응가가 나올것 같드라,,,한번 힘을 줬는데, 안나오드라.화장실 갔다오니, 짐승진통 시작.아까 그 간호사분 다시 내진.""어 다열렸네? 이거 무통 못 맞겠다"" 응?응???무통 못 맞는다고? 무통천국은?응? 폭풍 진통 진행.""애기가 작아서 엄마가 진통 못견디면 애기가 힘들어""""이것봐 애기 심박수 떨어진다""""양수가 거의 없네?""저 말이 내 무통주사였다.제발,,건강하게 나와줘 제발  오전 9시 52분 .  2.32kg란다...너 이놈, 2키로 넘었으면서 왜 그렇게 걱정시켰니...ㅠㅠ  ""숨 잘 쉬어요? 자가호흡되요? 숨 잘 쉬죠? 인큐베이터 안들어가요?""저 말만 몇번을 반복했던거 같다.  그리고 아들에게 건넨 첫 마디는""고마워""  걱정한 내가 미안할 만큼 건강하게 태어나준 아들.정말 고마워.    130일이나 된 지금,,,  그렇게 걱정하며,,,""건강하게만 자라다오"" 엄마는,  벌써 공부를 시키고,,     작은 아가,캥거루 케어해준다며팔이 빠지도록 안아주겠다고 다짐했던 엄마는..  너의 울며 뻐팅기는 힘을 버티지도 못하겠구나;;        "
